country|category|currency|iids|esID|s|importance|name|type|group|frequency|unit|pretty_name|url
Finland|Imports|USD|te:comtrade:finland.excat.ctglobal|te:comtrade:finland.excat.ctglobal|finland.excat.ctglobal|50|Finland Exports by Category|comtrade||Annual||Finland Exports by Category|/finland/exports-by-category
Finland|Imports|USD|te:comtrade:finland.excount.ctglobal|te:comtrade:finland.excount.ctglobal|finland.excount.ctglobal|50|Finland Exports by Country|comtrade||Annual||Finland Exports by Country|/finland/exports-by-country
Finland|Imports|USD|te:comtrade:finland.imcount.ctglobal|te:comtrade:finland.imcount.ctglobal|finland.imcount.ctglobal|50|Finland Imports by Country|comtrade||Annual||Finland Imports by Country|/finland/imports-by-country
Finland|Imports|USD|te:comtrade:finland.imcat.ctglobal|te:comtrade:finland.imcat.ctglobal|finland.imcat.ctglobal|50|Finland Imports by Category|comtrade||Annual||Finland Imports by Category|/finland/imports-by-category
|Exports|USD|te:comtrade:usafin00002|te:comtrade:usafin00002|usafin00002:comtrade|41|United States exports to Finland|comtrade||Annual||United States exports to Finland|/united-states/exports/finland
|Imports|USD|te:comtrade:usafin00001|te:comtrade:usafin00001|usafin00001:comtrade|41|United States imports from Finland|comtrade||Annual||United States imports from Finland|/united-states/imports/finland
|Imports|USD|te:comtrade:chnfin00001|te:comtrade:chnfin00001|chnfin00001:comtrade|34|China imports from Finland|comtrade||Annual||China imports from Finland|/china/imports/finland
|Exports|USD|te:comtrade:chnfin00002|te:comtrade:chnfin00002|chnfin00002:comtrade|34|China exports to Finland|comtrade||Annual||China exports to Finland|/china/exports/finland
|Exports|USD|te:comtrade:usafinxx032|te:comtrade:usafinxx032|usafinxx032:comtrade|26|United States exports of fish, crustaceans, molluscs, aquatics invertebrates to Finland|comtrade||Annual||United States exports of fish, crustaceans, molluscs, aquatics invertebrates to Finland|/united-states/exports/finland/fish-crustaceans-molluscs-aquatics-invertebrates
|Exports|USD|te:comtrade:usafinxx042|te:comtrade:usafinxx042|usafinxx042:comtrade|26|United States exports of dairy products, eggs, honey, edible products to Finland|comtrade||Annual||United States exports of dairy products, eggs, honey, edible products to Finland|/united-states/exports/finland/dairy-products-eggs-honey-edible-products
|Imports|USD|te:comtrade:usafinxx051|te:comtrade:usafinxx051|usafinxx051:comtrade|26|United States Imports from Finland of Products of animal origin|comtrade||Annual||United States Imports from Finland of Products of animal origin|/united-states/imports/finland/products-animal-origin
|Exports|USD|te:comtrade:usafinxx072|te:comtrade:usafinxx072|usafinxx072:comtrade|26|United States exports of edible vegetables and certain roots and tubers to Finland|comtrade||Annual||United States exports of edible vegetables and certain roots and tubers to Finland|/united-states/exports/finland/edible-vegetables-certain-roots-tubers
|Imports|USD|te:comtrade:usafinxx091|te:comtrade:usafinxx091|usafinxx091:comtrade|26|United States Imports from Finland of Coffee, tea, mate and spices|comtrade||Annual||United States Imports from Finland of Coffee, tea, mate and spices|/united-states/imports/finland/coffee-tea-mate-spices
|Exports|USD|te:comtrade:usafinxx092|te:comtrade:usafinxx092|usafinxx092:comtrade|26|United States exports of coffee, tea, mate and spices to Finland|comtrade||Annual||United States exports of coffee, tea, mate and spices to Finland|/united-states/exports/finland/coffee-tea-mate-spices
|Exports|USD|te:comtrade:usafinxx102|te:comtrade:usafinxx102|usafinxx102:comtrade|26|United States exports of cereals to Finland|comtrade||Annual||United States exports of cereals to Finland|/united-states/exports/finland/cereals
|Exports|USD|te:comtrade:usafinxx112|te:comtrade:usafinxx112|usafinxx112:comtrade|26|United States exports of milling products, malt, starches, inlin, wheat gluten to Finland|comtrade||Annual||United States exports of milling products, malt, starches, inlin, wheat gluten to Finland|/united-states/exports/finland/products-milling-industry-malt-starches-inulin-wheat-gluten
|Imports|USD|te:comtrade:usafinxx171|te:comtrade:usafinxx171|usafinxx171:comtrade|26|United States Imports from Finland of Sugars and sugar confectionery|comtrade||Annual||United States Imports from Finland of Sugars and sugar confectionery|/united-states/imports/finland/sugars-sugar-confectionery
